filename, language, Log, Java, XML, GLSL, comment, blank, total
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\SkyboxShader.java, Java, 0, 38, 0, 0, 11, 17, 66
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\StaticShader.java, Java, 0, 102, 0, 0, 3, 23, 128
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\Texture2D.java, Java, 0, 10, 0, 0, 3, 9, 22
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\VertexArray.java, Java, 0, 35, 0, 0, 3, 12, 50
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\VertexBuffer.java, Java, 0, 33, 0, 0, 3, 13, 49
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\Window.java, Java, 0, 109, 0, 0, 4, 36, 149
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\shaders\fragmentShader.glsl, GLSL, 0, 0, 0, 96, 5, 21, 122
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\shaders\skyboxFragmentShader.glsl, GLSL, 0, 0, 0, 8, 0, 3, 11
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\shaders\skyboxVertexShader.glsl, GLSL, 0, 0, 0, 12, 0, 3, 15
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\graphics\shaders\vertexShader.glsl, GLSL, 0, 0, 0, 17, 0, 4, 21
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\math\Box2D.java, Java, 0, 24, 0, 0, 3, 9, 36
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\math\BoxCollider.java, Java, 0, 46, 0, 0, 3, 14, 63
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\math\NoiseGen.java, Java, 0, 47, 0, 0, 3, 17, 67
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\math\OpenSimplexNoise.java, Java, 0, 1795, 0, 0, 155, 189, 2139
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\math\Transform.java, Java, 0, 50, 0, 0, 3, 17, 70
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\math\Utils.java, Java, 0, 22, 0, 0, 3, 3, 28
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\math\Vector4.java, Java, 0, 81, 0, 0, 3, 22, 106
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\math\VisibilityChange.java, Java, 0, 5, 0, 0, 3, 3, 11
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\models\MaterialModel.java, Java, 0, 19, 0, 0, 3, 9, 31
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\models\Model.java, Java, 0, 19, 0, 0, 3, 11, 33
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\models\TexturedModel.java, Java, 0, 27, 0, 0, 3, 12, 42
c:\Users\Nicolas\Documents\minecraftclone\src\main\java\computergraphics\states\TriangleDisplayState.java, Java, 0, 146, 0, 0, 19, 64, 229
c:\Users\Nicolas\Documents\minecraftclone\src\test\java\computergraphics\AppTest.java, Java, 0, 11, 0, 0, 6, 4, 21
Total, -, 2386, 4751, 433, 133, 390, 1414, 9507
